17/04/2020;144/E14130/2020-S0;Percepatan Modifikasi Let Down HHP Steam UTL 500 to HP Steam UTL RFCC ;;;;;;"Emergency Stop Unit Gasoline Treating Unit #105 dan Hidrogen Recovery Unit #108 Untuk menjaga kestabilan pressure HP Steam Header , Start Up RFCC secara Overal 8 Jam lebih lama terkait limitasi availabilitas HP Steam "
05/05/2020;100/E14110/2020-S0;Perbaikan Bocoran ;2101051505;8201028400;3950061241;500025181;PT. INDAH JAYA PUTRA;Akibat Long residue masuk ke kero menyebabkan kenaikan sulfur content dan perubahan warna di kero sebagai feed product avtur (off spec) 
19/05/2020;128/E14110/2020-S9;Perbaikan shaft 11P-23A;1101015312;;;;;Menyebabkan Unit CDU Stop 
08/06/2020;/E14120/2020-S0;Perbaikan Tangki 39T-202;1101015453;8301077294;;;;Dampak Kehandalan : tidak dapat menampung produk Heavy Platformate sebagai umpan unit Xylene Fraksinasi 
09/06/2020;/E14130/2020-S0;Perbaikan kerusakan FD Fan COB 101-F-503-K1;2101052537;;;;;"Potensi RFCC Trip yang mengakibatkan loss produk LPG, Naphta dan Propylene "
09/06/2020;/E14130/2020-S0;Pembuatan Line RBDPO di Area OM 60 ;-;;;;;"33T7 tdk dpt menerima discharge RBDPO dari Kapal, tdk dpt digunakan sbg feed RBDPO ke unit 018 (TDHT), tdk dpt diinjeksikan ke LSWR tank sbg feed RFCC, Program RBDPO sbg feed unit 018 (TDHT) dan Feed RFCC menjadi terkendala"
10/06/2020;071/E14110/2020-S0;Penggantian line MP. Steam Sootblower Boiler 52-B-1/2/3/201 di Unit Utilities -I & Px ;2101047290;;;;;"Kerusakan yang terjadi pada line sootblower boiler berakibat tidak dilakukan sootblowing boiler untuk membersihkan jelaga di tube, akibatnya akan terjadi penurunan performance, efisiensi dan mengurangi minimum spare HP steam boiler secara keseluruhan di Utilities-Prod I "
10/06/2020;/E14120/2020-S0;Perbaikan Line Underground Closed Drain ;2101046926;;;;;Dampak Kehandalan : Tdk dpt melakukan pengedrainan / dekontaminasi secara normal 
16/06/2020;216/E14120/2020-S5;Perbaikan 93XV-063;2101052941;8201030797;;;;Unit 93 (Sulfur Recovery Unit) Stop 
18/06/2020;156/E14130/2020-S0;Penggantian Flame Detector di Aux Boiler (151-B-501B) UTL RFCC;2101051888 dan 2101052927;8201029268;;;;Tidak maksimalnya operational Aux Boiler B dan tidak termonitornya api di burner atas Aux Boiler B. Hal tersebut dapat mengganggu kehandalan kilang RFCC secara keseluruhan karena menurunnya produk steam dari Aux Boiler B 
19/06/2020;220/E14130/2020-S0;Upgrade Line Acid di Polisher 154-A-503 ABC ;2101047538;;;;;"Terganggunya proses regererasi yang berdampak pada kualitas dan penurunan produk Demin Water, sehingga dapat mengganggu balance water di Kilang RFCC. Dari segi safety dapat membahayakan operator Utl RFCC yang bertugas di Polisher "
23/06/2020;75/E14110/2020-S0;Penggantian Silica Sand 16C-1 dan Clay 16C-3 berdasarkan Ref Memo 234/E14200/2020-S2;2101050613;8201029471;3950071548;500025761;PT. BANGUN SEJAHTERA RAHARJA;Target produksi Avtur tidak bisa tercapai 
24/06/2020;221/E14130/2020-S0;Penggantian Modul Komunikasi Kompresor Unit 108;2101053006;8201029437;;;;Dengan terkendalanya kompresor 108-K-501 A berpotensi menyebabkan produksi Avtur Unit 105 terhenti dikarenakan tidak ada suplai gas hydrogen ke unit 105
24/06/2020;74/E14110/2020-S0;Percepatan Perbaikan MLOP 510G601P2A;2101053163;;;;;Kehandalan suplly lube oil 510G601 menjadi berkurang karena tidak beroperasinya MLOP 510G601P2A
29/06/2020;228/E14130/2020-S0;Perbaikan FDF COB 101F-503K2;2101053425;8201029565;;;;"Dengan menunggu perbaikan carbon ring, FDF CO Boiler (combustion air) beroperasi tanpa spare, jika terjadi kegagalan pada 101F-503K1 (Motor) maka akan menyebabkan CO Boiler Trip sehingga steam balance terganggu, berakibat kapasitas RFCC turun (dibawah 100% kapasitas). Apabila kondisi ini tidak segera diselesaikan, maka berpotensi kehilangan produk gasoline 92, LPG serta Propylene. "
30/06/2020;79/E14110/2020-S0 ;Unbalanced Shaft Pompa 11P-2B (Vibrasi Tinggi) ;2101053439;8201029630;;;;"Bila 11P-3 mengalami kegagalan, maka unit CDU harus Stop "
01/07/2020;78/E14110/2020-S0;Perbaikan Pompa Condensate STG 51-P-2 di Utilities-I & Px;2101053471;;;;;"Kerusakan yang terjadi pada pompa Condensate STG 51-P-2 berakibat tidak dapatnya beroperasi Unit Steam Turbin Generator 51-G-2, kondisi aktualnya sekarang beroperasi tanpa pompa condensate yang stand-by. Bila terjadi failure akibatnya akan shut down / trip Unit Steam Turbin Generator 51-G-2"
01/07/2020;243/E14130/2020-S0;Penggantian Valve Discharge Pompa Clarifier 63P502ABC;"2101053543, 2101053544, 2101053545 ";;;;;"Berdasarkan kerusakan tersebut dapat menyebabkan terganggunya operaional pada saat kejadian emergency dikarenkan operator kesulitan dalam mengo[peraikan valve tersebut. Dan selain unsafe condition saat mengoperaikan Valve khususnya 63P502C, juga dapat kami sampaikan terkait kendala pada saat cleaning strainer karena kondisi valve passing."
01/07/2020;005/E14110/2020-S0;Pengecatan Tanki Bagian Luar 33T7 ;2101027550;8301078812;;500025977;;"33T7 kondisi coating yang sudah buram berpotensi terjadi laju korosi yang cepat, dengan adanya laju korosi yang cepat berpotensi roof tanki berlubang / rusak. Apabila roof tanki 33T7  berlubang maka jika terjadi hujan air hujan akan masuk kedalam tanki dan akan mempengaruhi spesifikasi RBDPO di 33T7 & unsafe untuk dioperasikan "
01/07/2020;360/E14110/2020-S0;Percepatan Perbaikan Catwalk 73MD9 Dermaga III Area 70 ;1101015761;8301079234;;500026061;;"Kondisi tidak aman pada saat proses penyandaran, terutama saat dilakukan malam hari.Potensi kerusakan lebih besar pada saat struktur platform 73MD9 dan 73MD10 apabila tdak dilakssanakan pengangkatan dan reposisi Catwalk segera. Potensi tidak dpat disandarakan kapal di Dermaga III"
07/07/2020;83/E14110/2020-S5 ;Percepatan Perbaikan / Pengadaan Shaft Finfan 017E-105 K14 ;2101053262;;;;;Proses Pendinginan temperet water akan terganggu sehingga mengakibatkan temperatur LSWRproduk yang ke tanki akan panas 
07/07/2020;248/E14130/2020-S0;Perbaikan Pompa Decant Oil 101P-523A;2101053782;8201029882;;;;"Dengan menunggu Perbaikan Liner Cassing & Mesh Seal, Pompa Produk DCO (Decant Oil) tersebut beroperasi tanpa spare, berpotensi menyebabkan kegagalan pumping out DCO Main Column Bottom Product yang akan berdampak pada kegagalan Unit 101-RCU serta Unit RFCC total shutdown yang mengakibatkan produksi offgas, gasoline, LPG, Propylene, LCO (Light Cycle Oil) dan DCO (Decant Oil) terhenti, Produk HP Steam dari catalyst cooler hilang sebanyak  120 ton/hr, berkurangnya produk HP Steam dari CO Boiler dari  210 Ton/Hr menjadi hanya 60ton/hr, serta hilangnya produk MP Steam Generator sebanyak 70 ton/hr "
08/07/2020;85/E14110/2020-S0;Percepatan Perbaikan Shaft untuk Rotating Equipment di Fungsi Produksi I;"2101052900 ,2101053471, 2101053321, 2101036758, 2101053262";8201029275;;;;Dengan banyaknya kerusakan Rotating Equiptment di Fungsi Produksi I terutama bagian Shaft dapat menurunkan kehandalan operasi kilang 
08/07/2020;250/E14130/2020-S0;Perbaikan Pompa COS (Carbonyl Sulfide) Circulation Pumps 103P-509A;2101053884;;;;;"Dengan menunggu Perbaikan Impeller & Shaft, Pompa COS Solvent tersebut beroperasi tanpa spare, berpotensi menyebabkan kegagalan sirkulasi COS Solvent yang akan berdampak pada kegagalan Unit 103-Merox yang mengakibatkan kehilangan Produk LPG sebesar 1190 TPD & Propylene sebesar 475 TPD "
08/07/2020;236/E14120/2020-S5;Perbaikan 041P-108A dan B ;2101052345;8201028916;;;;Potensi Blending Asphalt tidak dapat dilaksanakan 
13/07/2020;80/E14110/2020-S0;Percepatan Perbaikan Pompa 70P6 di Oil Movement Area 70 ;2101053321;8201029482;;100032461;;"Terganggunya distribusi air tawar ke gedung-gedung di Area 70, Terganggunya operasional supply ke kapal dikarenakan ada sebagian yang dialirkan ke gedung-gedung "
16/07/2020;87/E14110/2020-S0;Percepatan Perbaikan Switch Rack Metering System Area 70;2101053999;;;;;Kondisi Sub Standardyang menyebabkan kegagalan pengoperasian Metering sebagai Custody Transfer. Potensi shut down Peralatan Metering di area /local yang menyebabkan stop kegiatan loading yang menggunakan metering
21/07/2020;88/E14110/2020-S0;Percepatan Penggantian UPS 200EE0004 Cyberex;1101015944;8301079109;;500025995;;"Potensi jika terjadi kegagalan pada System UPS standby tersebut, maka LOC III akan shutdown. "
21/07/2020;250/E14120/2020-S0;Perbaikan Bocoran Line 88-FL8017-A1A1-30";2101054292;8201030109;;500026067;;"Dampak Kehandalan tekanan operasi terganggunya. Dampak operasional dapat mengakibatkan terganggunya unit proses area Paraxylenekhususnya di Raffinate Colomn (88C-202) unit proses. Dampak Safety : Unsafe condition dan paparan hydrocarbon, karena line yang bocor "
21/07/2020;246/E14120/2020-S5;Cleaning 166 PIT-502;2101054233;;;;;"Repeatable kerusakan pompa 166P-502 AB, potensi oil spill ke perairan terbuka "
24/07/2020;264/E14120/2020-S5;Pengadaan UPS (Uninterruptible Power Supply) Penggantian UPS 200EE004 dan Battery Bank 200EE0005;;;;;;All Unit LOC III Shutdown akibat power failure PLC ESD dari kegagalan Secondary UPS 200EE0004 yang beroperasi tanpa adanya Standby UPS 
27/07/2020;93/;Resizing Jumper Line dari 2" ke 4" sebagai tie-in supply fresh Colling Water ke sistem Jacket Water ;2101054599;;;;;"Ketiadaan supply sistem Jacket Water menyebabkan tidak adanya sistem pendongin pada peralatan berikut sistem pelumas Kompresor, STG, FD Fan Boiler dan potensi Shutdown "
28/07/2020;091/E14110/2020-S0;Perbaikan Valve Bypass 11FV-016 Pass 6 Dapur 11F1;2101054446;8201030126;;;;"Unbalanced beban Pass 6 : Duty MMK cal/hr = 8,41 vs 8,10 design, Flow T/D = 2998 vs 1697 design "
03/08/2020;282/E14130/2020-S0;Perbaikan Bocoran Flange Suction Tangki 47-T-511B ;2101054843;8201030272;;500026118;;Terhambatnya proses loading propylene ke kapal dan berpotensi terjadi kebakaran dikarenakan ada paparan propylene ke udara bebas 
03/08/2020;94/E14110/2020-S0;Perbaikan Pompa Cooling Water 053-P-101C ;2101054250;8201029983;;;;berpotensi mengurangi kehandalan Kilang II (FOC II & LOC II) dan bila Pompa yang beroperasi terjadi kegagalan dapat menyebabkan shutdown FOC II & LOC II 
04/08/2020;266/E14120/2020-S0;Perbaikan Motor 82P201B ;2101054903;8301080653;;500026189;;"Dampak kehandalan : 82P201 tidak ada spare, Dampak Operasional : apabila ada kegagalan dapat mengakibatkan stop unit "
05/08/2020;95/E14110/2020-S0 ;Cleaning 14E611 & 14E612;2101054877 & 2101054878;;;;;"Kenaikan temperatur inlet Hydrogen Purification Unit Tinggi hingga 480C (14TAHH277) menyebabkan HPU system trip, tidak ada supply H2 Permeate ke CCR, CCR Shutdown coking rate catalyst Unit Platforming naik. "
06/08/2020;100/E14110/2020-S0;Perbaikan percepatan Selenoid MAC Sewa Utilities Production I ;1101016104;8301080065;;500026282;;Dapat menurunkan kehandalan supply instrument Air Kilang Eksisting 
07/08/2020;097/E14110/2020-S5;Pengadaan Oil Skimmer dan Oil Boom HB 49 & HB 66;"Oil Skimmer 2101055030 , Oil Boom 2101055031";;;;;- Minyak yang ada di HB tidak dapat diambil dengan Oil Skimmer dan harus disedot menggunakan Vacuum Truck 
;;;;;;;;
11/08/2020;102/E14110/2020-S0 ;Percepatan Perbaikan Motor 053P101CM ;2101055084;;;;;"Dengan kondisi Motor 053P101CM Repair, maka status readiness dari Pompa Cooling Water Utilities 05 yaitu N+0 (no standby pump), jika terjadi kegagalan pada pompa Cooling Water Utilities 05 053P101AT/BT maka akan menyebabkan shutdown Kilang II (LOC II & FOC II) "
13/08/2020;103/E14110/2020-S0 ;"Percepatan Penggantian Floating Hose, Mooring Hawser dan Pengadaan MSL ";2101055257 dan 2101055259 ;;;;;- Kondisi tidak aman pada saat proses penyandaran dan discharge crude di SPM  
;;;;;;;;- Potensi penurunan Flow rate discharge crude karena menggunakan hanya 1 length floating hose 
;;;;;;;;- Potensi tumpahan minyak apabila tidak segera dilaksanakan penggantian 
13/08/2020;293/E14130/2020-S0;Perbaikan Bocoran di Flange Critical Flow Nozzle 30 Inchi di 101V-511 Unit 101 RFCC ;2101055285;8201030548;500026245;;;"Berakibat adanya kandungan CO di area lantai 4 RG RX yang berpotensi terpapar ke Pekerja dan Mitra Kerja yang melaksanakan pekerjaan di Area RG RX Unit 101 serta kerusakan flange critical flow nozzle 30 inchi berpotensi menyebabkan gangguan aliran flue gas yang mengalir ke COB (Carbon Monoksida Boiler) yang akan berdampak pada kegagalan Unit 101-RCU serta Unit RFCC total Shutdown yang mengakibatkan produksi offgas, gasoline, LPG, Propylene, LCO, dan DCO terhenti, produk HP Steam dari catalyst cooler hilang sebanyak kurang lebih 120 ton/hr berkurangnya produk HP Steam dari CO Boiler dari kurang lebih 210 ton / hr menjadi hanya kurang lebih 60 ton/hr, serta hilangnya produk MP steam dari Steam Generator sebanyak kurang lebih 70 ton/hr "
13/08/2020;297/E14120/2020-S5 ;Perbaikan 91K-402B ;1101016167;;;;;Unit 92 (LPG Recovery Unit) Stop 
14/08/2020;104/E14110/2020-S0;Pemasangan Scaffolding di line discharge 13P-6 ke header slope;2101055377;;;;;"Di daerah sekitra bocoran terdapat peralatan motor yang sedang beroperasi sehingga sangat berbahya bila tidak diperbaiki segera 2. Sementara buanagn 13V-7/8 di drain ke sewer, kandungan H2S tinggi mitigasi operasi di steaming."
18/08/2020;23/E14120/2020-S0;Cleaning 24E-32;2101055444;;;;;"Bila Vacum kondensor 24K-2 tinggi, hal ini akan menyebabkan 24K-2 trip , produk off dan MDU-1 harus Shutdown "
26/08/2020;109/E14110/2020-S0 ;Perbaikan Bocoran Line Crude di Inlet 11F-1;2101055613;;;;;"Shutdown Kilang CDU, HDT & Platformer FOC-1"
26/08/2020;110/E14110/2020-S0 ;Percepatan Perbaikan Shaft & Shaft Sleev Untk Rotating Equipment Utls ;"2101052809 ,2101052806, 2101052807, 2101054277,2101054623";8201029363;;;;Dapat Menurunkan Kehandalan Operasional Kilang 
;;;;;;;;
09/07/2020;84/E14110/2020 - S5;Percepatan Perbaikan Motor 013K-101 AM;;;;;;Apabila Recycle Gas Compressor 013K-101 BM saat ini mengalami kegagalan maka unit AHU akan Shutdown
08/07/2020;No.250/E14130/2020-S0;Perbaikan Pompa  COS (Carbonyl Sulfide) Circulation Pump 103P-509A;2101053884;;;;;"Dengan menunggu perbaikan impeller & shaft, Pompa COS Solvent tersebut beroperasi tanpa spare, berpotensi menyebabkan kegagalan sirkulasi COS Solvent yang akan berdampak pada kegagalan Unit 103 - Merox yang mengakibatkan kehilangan Produk LPG sebesar 1190 TPD & Propylene sebesar 475 TPD."
29/06/2020;No.228/E14130/2020-S0;Perbaikan FDF COB 101F-503K2;2101053425;8201029565;;;;"Dengan menunggu perbaikan carbon ring, FDF CO Boiler (combustion air) beroperasi tanpa spare, jika terjadi kegagalan pada 101F-503K1 (Motor) maka akan menyebabkan CO Boiler Trip sehingga steam balance terganggu, berakibat kapasitas RFCC turun (dibawah 100% kapasitas). Apabila kondisi ini tidak segera diselesaikan, maka berpotensi kehilangan produk Gasoline 92, LPG serta Propylene."
