1;Perbaikan Pompa 38P112A/B;Non RKAP;"8201031284, 8201031285";"500026567, 500026568";;jasa;14/08/2020;pre bid meeting;25/09/2020;Workshop;OM 60 & NBM;;;;Ramadhan Budianto;;;Baskoro Adiputro Purwono;14/08/2020;#REF!;07/09/2020;14/09/2020;21/09/2020;25/09/2020;;;;;
2;Fabrikasi Volute Casing Blower 84K251;Non RKAP;8201031319;500026639;;jasa;20/07/2020;pengajuan proses tender;22/09/2020;Workshop;PARAXYLENE;;;;;;;Baskoro Adiputro Purwono;20/07/2020;#REF!;#REF!;#REF!;22/09/2020;;;;;;
3;Kontrak Tenaga Bantu Perbaikan Kompresor 12K1B;Non RKAP;8201031581;;;jasa;20/09/2020;pengajuan proses tender;29/09/2020;MA 1;FOC I;;;;;;;Baskoro Adiputro Purwono;20/09/2020;22/09/2020;24/09/2020;28/09/2020;29/09/2020;;;;;;
4;Perbaikan Fin Fan 85E215D;Non RKAP;8201031134;500026498;;jasa;31/08/2020;Penunjukan Pemenang;29/09/2020;MA 4;PARAXYLENE;;;;Rangga Dewana;;;Baskoro Adiputro Purwono;31/08/2020;#REF!;17/09/2020;19/09/2020;23/09/2020;25/09/2020;26/09/2020;27/09/2020;29/09/2020;;
5;Fabrikasi Shaft 011P113A;Non RKAP;8201030997;500026451;;jasa;06/08/2020;Penerbitan SP3MK;21/09/2020;Workshop;FOC II;;;;Ramadhan Budianto;;;Baskoro Adiputro Purwono;06/08/2020;#REF!;26/08/2020;28/08/2020;02/09/2020;05/09/2020;12/09/2020;16/09/2020;18/09/2020;21/09/2020;
9;"Digitalisasi Asset Area Kilang RFCC, KPC, FOC II";Non RKAP;1101015750;8301077430;500025709;jasa;26/06/2020;SPB;24/07/2020;EIIE;ALL Area;Menunggu Dokumen SPB/PO;24/07/2020;;Dhika Noor Fadilla;KOPAMA;No. 227/E14100/2020-S0;Tyffani Meirnadias;26/06/2020;#REF!;13/07/2020;14/07/2020;15/07/2020;17/07/2020;20/07/2020;21/07/2020;21/07/2020;23/07/2020;24/07/2020
13;Penyehatan Inst. Substandard PX Area B&C;RKAP;1101015880;8301078571;500025894;jasa;13/07/2020;Approval HPS OE;24/09/2020;MA 4;PARAXYLENE;;;;Dhika Noor Fadilla;;;Tyffani Meirnadias;13/07/2020;#REF!;#REF!;#REF!;#REF!;#REF!;24/09/2020;;;;
14;TSA FGDS SIEGER HONEY WELL;RKAP;;;800001732;jasa;01/03/2020;Pre bid meeting;24/06/2020;MA 4;"SRU, FOC I";Calon Penyedia jasa belum memenuhi kriteria untuk dapat melakukan tender;01/07/2020;;;;;Tyffani Meirnadias;01/03/2020;#REF!;#REF!;#REF!;#REF!;24/06/2020;;;;;
15;TSA SPARING;Non RKAP;;;;jasa;24/08/2020;Izin prinsip / persetujuan;24/08/2020;MA 3;OM 60 & NBM;Menunggu Factory Quotation;24/08/2020;;;PT Chemviro Buana;;Tyffani Meirnadias;24/08/2020;;;24/08/2020;;;;;;;
16;Pengadaan jasa Asisten Pengawas ME II;Non RKAP;;;300062634;jasa;11/09/2020;Approval HPS OE;28/09/2020;MA 6;All Area;;;;Mugi Nurdini;PT Cahaya Turangga Sakti;;Tyffani Meirnadias;11/09/2020;13/09/2020;15/09/2020;17/09/2020;21/09/2020;23/09/2020;28/09/2020;;;;
17;Pemasangan Baru DCS OM 70;RKAP;1101013568;8301083301;500026706;jasa;28/09/2020;Izin Prinsip / persetujuan;01/10/2020;MA 3;OM 70;Perlu pembuatan izin prinsip karena justifikasi dari REL tidak mutlak hanya dapat dipilih 1 (satu) penyedia jasa;30/09/2020;;;PT Vania Amicitia;;Tyffani Meirnadias;28/09/2020;29/09/2020;20/09/0310;01/10/2020;;;;;;;
